Country Name	Country Code	Series Name	Series Code	2011
"Gambia, The"	GMB	Account used to receive remittances (% age 15+)	GFDD.AI.10	..
"Gambia, The"	GMB	Account used to receive wages (% age 15+)	GFDD.AI.11	..
Georgia	GEO	Depositing/withdrawing at least once in a typical month (% age 15+)	GFDD.AI.26	31.94695
Georgia	GEO	Account used to receive government payments (% age 15+)	GFDD.AI.09	19.36881
Georgia	GEO	Account used to receive remittances (% age 15+)	GFDD.AI.10	2.266875
Georgia	GEO	Account used to receive wages (% age 15+)	GFDD.AI.11	8.144133
Germany	DEU	Depositing/withdrawing at least once in a typical month (% age 15+)	GFDD.AI.26	96.57045
Germany	DEU	Account used to receive government payments (% age 15+)	GFDD.AI.09	61.98449
Germany	DEU	Account used to receive remittances (% age 15+)	GFDD.AI.10	16.99458
Germany	DEU	Account used to receive wages (% age 15+)	GFDD.AI.11	45.87614
Ghana	GHA	Depositing/withdrawing at least once in a typical month (% age 15+)	GFDD.AI.26	27.93451
Ghana	GHA	Account used to receive government payments (% age 15+)	GFDD.AI.09	7.236863
Ghana	GHA	Account used to receive remittances (% age 15+)	GFDD.AI.10	11.77466
Ghana	GHA	Account used to receive wages (% age 15+)	GFDD.AI.11	11.50298
Greece	GRC	Depositing/withdrawing at least once in a typical month (% age 15+)	GFDD.AI.26	77.72553
Greece	GRC	Account used to receive government payments (% age 15+)	GFDD.AI.09	20.99072
Greece	GRC	Account used to receive remittances (% age 15+)	GFDD.AI.10	4.792522
Greece	GRC	Account used to receive wages (% age 15+)	GFDD.AI.11	32.29814
Grenada	GRD	Depositing/withdrawing at least once in a typical month (% age 15+)	GFDD.AI.26	..
Grenada	GRD	Account used to receive government payments (% age 15+)	GFDD.AI.09	..
Grenada	GRD	Account used to receive remittances (% age 15+)	GFDD.AI.10	..
Grenada	GRD	Account used to receive wages (% age 15+)	GFDD.AI.11	..
Guatemala	GTM	Depositing/withdrawing at least once in a typical month (% age 15+)	GFDD.AI.26	21.42586
Guatemala	GTM	Account used to receive government payments (% age 15+)	GFDD.AI.09	3.488271
Guatemala	GTM	Account used to receive remittances (% age 15+)	GFDD.AI.10	4.343032
Guatemala	GTM	Account used to receive wages (% age 15+)	GFDD.AI.11	10.0221
Guinea	GIN	Depositing/withdrawing at least once in a typical month (% age 15+)	GFDD.AI.26	3.647994
Guinea	GIN	Account used to receive government payments (% age 15+)	GFDD.AI.09	0.5776177
Guinea	GIN	Account used to receive remittances (% age 15+)	GFDD.AI.10	0.7856596
Guinea	GIN	Account used to receive wages (% age 15+)	GFDD.AI.11	0.8902503
Guinea-Bissau	GNB	Depositing/withdrawing at least once in a typical month (% age 15+)	GFDD.AI.26	..
Guinea-Bissau	GNB	Account used to receive government payments (% age 15+)	GFDD.AI.09	..
Guinea-Bissau	GNB	Account used to receive remittances (% age 15+)	GFDD.AI.10	..
Guinea-Bissau	GNB	Account used to receive wages (% age 15+)	GFDD.AI.11	..
Guyana	GUY	Depositing/withdrawing at least once in a typical month (% age 15+)	GFDD.AI.26	..
Guyana	GUY	Account used to receive government payments (% age 15+)	GFDD.AI.09	..
Guyana	GUY	Account used to receive remittances (% age 15+)	GFDD.AI.10	..
Guyana	GUY	Account used to receive wages (% age 15+)	GFDD.AI.11	..
Haiti	HTI	Depositing/withdrawing at least once in a typical month (% age 15+)	GFDD.AI.26	21.57799
Haiti	HTI	Account used to receive government payments (% age 15+)	GFDD.AI.09	0.5618275
Haiti	HTI	Account used to receive remittances (% age 15+)	GFDD.AI.10	10.81392
Haiti	HTI	Account used to receive wages (% age 15+)	GFDD.AI.11	8.221887
Honduras	HND	Depositing/withdrawing at least once in a typical month (% age 15+)	GFDD.AI.26	19.92256
Honduras	HND	Account used to receive government payments (% age 15+)	GFDD.AI.09	2.027169
Honduras	HND	Account used to receive remittances (% age 15+)	GFDD.AI.10	4.097485
Honduras	HND	Account used to receive wages (% age 15+)	GFDD.AI.11	8.299526
"Hong Kong SAR, China"	HKG	Depositing/withdrawing at least once in a typical month (% age 15+)	GFDD.AI.26	84.87992
"Hong Kong SAR, China"	HKG	Account used to receive government payments (% age 15+)	GFDD.AI.09	18.20796
"Hong Kong SAR, China"	HKG	Account used to receive remittances (% age 15+)	GFDD.AI.10	14.99469
